# HVACIDA 气象数据库(GB 50736-2012 附录A 表A 室外空气计算参数)
# 源文件: 各省市室外空气参数.md
# 源文件 SHA256: 36c4e4255a1becc55c044222d596e14382f5aa7d0cec93c497906a1b967942d4
# 源文件字节数: 257361
# 台站数: 294
# 重新生成: python tools/weatherdb/build_weather_db.py
# 本文件是生成物,不要手改;改数据请改源文件后重跑生成器
# (门禁 tools/weatherdb/check-weather-db-sync.ps1 会校验源文件 SHA256 与台站数)。
station_id,province,city,station_name,latitude,longitude,elevation_m,stats_period,annual_mean_temp_c,heating_outdoor_c,winter_vent_outdoor_c,winter_ac_outdoor_c,winter_ac_rh_pct,summer_ac_dry_bulb_c,summer_ac_wet_bulb_c,summer_vent_dry_bulb_c,summer_vent_rh_pct,summer_ac_daily_mean_c,winter_atm_pressure_hpa,summer_atm_pressure_hpa,extreme_max_c,extreme_min_c,max_frost_depth_cm,winter_sunshine_pct
50527,内蒙古,呼伦贝尔,海拉尔,49°13',119°45',610.2,1971~2000,-1,-31.6,-25.1,-34.5,79,29,20.5,24.3,54,23.5,947.9,935.7,36.6,-42.3,242,62
53513,内蒙古,巴彦淖尔,临河,40°45',107°25',1039.3,1971~2000,8.1,-15.3,-9.9,-19.1,51,32.7,20.9,28.4,39,27.5,903.9,891.1,39.4,-35.3,138,72
53480,内蒙古,乌兰察布,集宁,41°02',113°04',1419.3,1971~2000,4.3,-18.9,-13,-21.9,55,28.2,18.9,23.8,49,22.9,860.2,853.7,33.6,-32.4,184,72
50838,内蒙古,兴安盟,乌兰浩特,46°05',122°03',274.7,1971~2000,5,-20.5,-15,-23.5,54,31.8,23,27.1,55,26.6,989.1,973.3,40.3,-33.7,249,69
53068,内蒙古,锡林郭勒盟,二连浩特,43°39',111°58',964.7,1971~2000,4,-24.3,-18.1,-27.8,69,33.2,19.3,27.9,33,27.5,910.5,898.3,41.1,-37.1,310,76
54102,内蒙古,锡林郭勒盟,锡林浩特,43°57',116°04',989.5,1971~2000,2.6,-25.2,-18.8,-27.8,72,31.1,19.9,26,44,25.4,906.4,895.9,39.2,-38,265,71
54342,辽宁,沈阳,沈阳,41°44',123°27',44.7,1971~2000,8.4,-16.9,-11,-20.7,60,31.5,25.3,28.2,65,27.5,1020.8,1000.9,36.1,-29.4,148,56
54662,辽宁,大连,大连,38°54',121°38',91.5,1971~2000,10.9,-9.8,-3.9,-13,56,29,24.9,26.3,71,26.5,1013.9,997.8,35.3,-18.8,90,65
54339,辽宁,鞍山,鞍山,41°05',123°00',77.3,1971~2000,9.6,-15.1,-8.6,-18,54,31.6,25.1,28.2,63,28.1,1018.5,998.8,36.5,-26.9,118,60
54351,辽宁,抚顺,抚顺,41°55',124°05',118.5,1971~2000,6.8,-20,-13.5,-23.8,68,31.5,24.8,27.8,65,26.6,1011,992.4,37.7,-35.9,143,61
54346,辽宁,本溪,本溪,41°19',123°47',185.2,1971~2000,7.8,-18.1,-11.5,-21.5,64,31,24.3,27.4,63,27.1,1003.3,985.7,37.5,-33.6,149,57
54497,辽宁,丹东,丹东,40°03',124°20',13.8,1971~2000,8.9,-12.9,-7.4,-15.9,55,29.6,25.3,26.8,71,25.9,1023.7,1005.5,35.3,-25.8,88,64
54337,辽宁,锦州,锦州,41°08',121°07',65.9,1971~2000,9.5,-13.1,-7.9,-15.5,52,31.4,25.2,27.9,67,27.1,1017.8,997.8,41.8,-22.8,108,67
54471,辽宁,营口,营口,40°40',122°16',3.3,1971~2000,9.5,-14.1,-8.5,-17.1,62,30.4,25.5,27.7,68,27.5,1026.1,1005.5,34.7,-28.4,101,67
54237,辽宁,阜新,阜新,42°05',121°43',166.8,1971~2000,8.1,-15.7,-10.6,-18.5,49,32.5,24.7,28.4,60,27.3,1007,988.1,40.9,-27.1,139,68
54254,辽宁,铁岭,开原,42°32',124°03',98.2,1971~2000,7,-20,-13.4,-23.5,49,31.1,25,27.5,60,26.8,1013.4,994.6,36.6,-36.3,137,62
54324,辽宁,朝阳,朝阳,41°33',120°27',169.9,1971~2000,9,-15.3,-9.7,-18.3,43,33.5,25,28.9,58,28.3,1004.5,985.5,43.3,-34.4,135,69
54455,辽宁,葫芦岛,兴城,40°35',120°42',8.5,1971~2000,9.2,-12.6,-7.7,-15,52,29.5,25.5,26.8,76,26.4,1025.5,1004.7,40.8,-27.5,99,72
54161,吉林,长春,长春,43°54′,125°13′,236.8,1971~2000,5.7,-21.1,-15.1,-24.3,66,30.5,24.1,26.6,65,26.3,994.4,978.4,35.7,-33,169,64
54172,吉林,吉林,吉林,43°57′,126°28′,183.4,1971~1995,4.8,-24,-17.2,-27.5,72,30.4,24.1,26.6,65,26.1,1001.9,984.8,35.7,-40.3,182,52
54157,吉林,四平,四平,43°11',124°20',164.2,1971~2000,6.7,-19.7,-13.5,-22.8,66,30.7,24.5,27.2,65,26.7,1004.3,986.7,37.3,-32.3,148,69
54363,吉林,通化,通化,41°41',125°54',402.9,1971~2000,5.6,-21,-14.2,-24.2,68,29.9,23.2,26.3,64,25.3,974.7,961,35.6,-33.1,139,50
54374,吉林,白山,临江,41°48',126°55',332.7,1971~2000,5.3,-21.5,-15.6,-24.4,71,30.8,23.6,27.3,61,25.4,983.9,969.1,37.9,-33.8,136,55
50948,吉林,松原,乾安,45°00',124°01',146.3,1971~2000,5.4,-21.6,-16.1,-24.5,64,31.8,24.2,27.6,59,27.3,1005.5,987.9,38.5,-34.8,220,67
50936,吉林,白城,白城,45°38',122°50',155.2,1971~2000,5,-21.7,-16.4,-25.3,57,31.8,23.9,27.5,58,26.9,1004.6,986.9,38.6,-38.1,750,73
54292,吉林,延边,延吉,42°53',129°28',176.8,1971~2000,5.4,-18.4,-13.6,-21.3,59,31.3,23.7,26.7,63,25.6,1000.7,986.8,37.7,-32.7,198,57
50953,黑龙江,哈尔滨,哈尔滨,45°45',126°46',142.3,1971~2000,4.2,-24.2,-18.4,-27.1,73,30.7,23.9,26.8,62,26.3,1004.2,987.7,36.7,-37.7,205,56
50745,黑龙江,齐齐哈尔,齐齐哈尔,47°23',123°55',145.9,1971~2000,3.9,-23.8,-18.6,-27.2,67,31.1,23.5,26.7,58,26.7,1005,987.9,40.1,-36.4,209,68
50978,黑龙江,鸡西,鸡西,45°17',130°57',238.3,1971~2000,4.2,-21.5,-16.4,-24.4,64,30.5,23.2,26.3,61,25.7,991.9,979.7,37.6,-32.5,238,63
50775,黑龙江,鹤岗,鹤岗,47°22',130°20',227.9,1971~2000,3.5,-22.7,-17.2,-25.3,63,29.9,22.7,25.5,62,25.6,991.3,979.5,37.7,-34.5,221,63
50774,黑龙江,伊春,伊春,47°44',128°55',240.9,1971~2000,1.2,-28.3,-22.5,-31.3,73,29.8,22.5,25.7,60,24,991.8,978.5,36.3,-41.2,278,58
50873,黑龙江,佳木斯,佳木斯,46°49',130°17',81.2,1971~2000,3.6,-24,-18.5,-27.4,70,30.8,23.6,26.6,61,26,1011.3,996.4,38.1,-39.5,220,57
54094,黑龙江,牡丹江,牡丹江,44°34',129°36',241.4,1971~2000,4.3,-22.4,-17.3,-25.8,69,31,23.5,26.9,59,25.9,992.2,978.9,38.4,-35.1,191,56
50888,黑龙江,双鸭山,宝清,46°19',132°11',83.0,1971~2000,4.1,-23.2,-17.5,-26.4,65,30.8,23.4,26.4,61,26.1,1010.5,996.7,37.2,-37,260,61
50468,黑龙江,黑河,黑河,50°15',127°27',166.4,1971~2000,0.4,-29.5,-23.2,-33.2,70,29.4,22.3,25.1,62,24.2,1000.6,986.2,37.2,-44.5,263,69
50853,黑龙江,绥化,绥化,46°37',126°58',179.6,1971~2000,2.8,-26.7,-20.9,-30.3,76,30.1,23.4,26.2,63,25.6,1000.4,984.9,38.3,-41.8,715,66
50136,黑龙江,大兴安岭地区,漠河,52°58',122°31',433,1971~2000,-4.3,-37.5,-29.6,-41,73,29.1,20.8,24.4,57,21.6,984.1,969.4,38,-49.6,,60
50442,黑龙江,大兴安岭地区,加格达奇,50°24',124°07',371.7,1971~2000,-0.8,-29.7,-23.3,-32.9,72,28.9,21.2,24.2,61,22.2,974.9,962.7,37.2,-45.4,288,65
58367,上海,徐汇,上海徐家汇,31°10',121°26',2.6,1971~1998,16.1,-0.3,4.2,-2.2,75,34.4,27.9,31.2,69,30.8,1025.4,1005.4,39.4,-10.1,8,40
58238,江苏,南京,南京,32°00',118°48',8.9,1971~2000,15.5,-1.8,2.4,-4.1,76,34.8,28.1,31.2,69,31.2,1025.5,1004.3,39.7,-13.1,9,43
58027,江苏,徐州,徐州,34°17',117°09',41,1971~2000,14.5,-3.6,0.4,-5.9,66,34.3,27.6,30.5,67,30.5,1022.1,1000.8,40.6,-15.8,21,48
58259,江苏,南通,南通,31°59',120°53',6.1,1971~2000,15.3,-1,3.1,-3,75,33.5,28.1,30.5,72,30.3,1025.9,1005.5,38.5,-9.6,12,45
58040,江苏,连云港,赣榆,34°50',119°07',3.3,1971~2000,13.6,-4.2,-0.3,-6.4,67,32.7,27.8,29.1,75,29.5,1026.3,1005.1,38.7,-13.8,20,57
58343,江苏,常州,常州,31°46',119°56',4.9,1971~2000,15.8,-1.2,3.1,-3.5,75,34.6,28.1,31.3,68,31.5,1026.1,1005.3,39.4,-12.8,12,42
58144,江苏,淮安,淮阴,33°36',119°02',17.5,1971~2000,14.4,-3.3,1,-5.6,72,33.4,28.1,29.9,72,30.2,1025,1003.9,38.2,-14.2,20,48
58150,江苏,盐城,射阳,33°46',120°15',2,1971~2000,14,-3.1,1.1,-5,74,33.2,28,29.8,73,29.7,1026.3,1005.6,37.7,-12.3,21,50
58241,江苏,扬州,高邮,32°48',119°27',5.4,1971~2000,14.8,-2.3,1.8,-4.3,75,34,28.3,30.5,72,30.6,1026.2,1005.2,38.2,-11.5,14,47
58358,江苏,苏州,吴县东山,31°04',120°26',17.5,1971~2000,16.1,-0.4,3.7,-2.5,77,34.4,28.3,31.3,70,31.3,1024.1,1003.7,38.8,-8.3,8,41
58457,浙江,杭州,杭州,30°14',120°10',41.7,1971~2000,16.5,0,4.3,-2.4,76,35.6,27.9,32.3,64,31.6,1021.1,1000.9,39.9,-8.6,,36
58659,浙江,温州,温州,28°02',120°39',28.3,1971~2000,18.1,3.4,8,1.4,76,33.8,28.3,31.5,72,29.9,1023.7,1007,39.6,-3.9,,36
58549,浙江,金华,金华,29°07',119°39',62.6,1971~2000,17.3,0.4,5.2,-1.7,78,36.2,27.6,33.1,60,32.1,1017.9,998.6,40.5,-9.6,,37
58633,浙江,衢州,衢州,28°58',118°52',66.9,1971~2000,17.3,0.8,5.4,-1.1,80,35.8,27.7,32.9,62,31.5,1017.1,997.8,40,-10,,35
58562,浙江,宁波,鄞州,29°52',121°34',4.8,1971~2000,16.5,0.5,4.9,-1.5,79,35.1,28,31.9,68,30.6,1025.7,1005.9,39.5,-8.5,,37
58464,浙江,嘉兴,平湖,30°37',121°05',5.4,1971~2000,15.8,-0.7,3.9,-2.6,81,33.5,28.3,30.7,74,30.7,1025.4,1005.3,38.4,-10.6,,42
58556,浙江,绍兴,嵊州,29°36',120°49',104.3,1971~2000,16.5,-0.3,4.5,-2.6,76,35.8,27.7,32.5,63,31.1,1012.9,994,40.3,-9.6,,37
58477,浙江,舟山,定海,30°02',122°06',35.7,1971~2000,16.4,1.4,5.8,-0.5,74,32.2,27.5,30,74,28.9,1021.2,1004.3,38.6,-5.5,,41
58667,浙江,台州,玉环,28°05',121°16',95.9,1972~2000,17.1,2.1,7.2,0.1,72,30.3,27.3,28.9,80,28.4,1012.9,997.3,34.7,-4.6,,39
58646,浙江,丽水,丽水,28°27',119°55',60.8,1971~2000,18.1,1.5,6.6,-0.7,77,36.8,27.7,34,57,31.5,1017.9,999.2,41.3,-7.5,,33
58321,安徽,合肥,合肥,31°52',117°14',27.9,1971~2000,15.8,-1.7,2.6,-4.2,76,35,28.1,31.4,69,31.7,1022.3,1001.2,39.1,-13.5,8,40
58334,安徽,芜湖,芜湖,31°20',118°23',14.8,1971~1985,16,-1.3,3,-3.5,77,35.3,27.7,31.7,68,31.9,1024.3,1003.1,39.5,-10.1,9,38
58221,安徽,蚌埠,蚌埠,32°57',117°23',18.7,1971~2000,15.4,-2.6,1.8,-5,71,35.4,28,31.3,66,31.6,1024,1002.6,40.3,-13,11,44
58424,安徽,安庆,安庆,30°32',117°03',19.8,1971~2000,16.8,-0.2,4,2.9,75,35.3,28.1,31.8,66,32.1,1023.3,1002.3,39.5,-9,13,36
58311,安徽,六安,六安,31°45',116°30',60.5,1971~2000,15.7,-1.8,2.6,-4.6,76,35.5,28,31.4,68,31.4,1019.3,998.2,40.6,-13.6,10,45
58102,安徽,亳州,亳州,33°52',115°46',37.7,1971~2000,14.7,-3.5,0.6,-5.7,68,35,27.8,31.1,66,30.7,1021.9,1000.4,41.3,-17.5,18,48
58437,安徽,黄山,黄山,30°08',118°09',1840.4,1971~2000,8,-9.9,-2.4,-13,63,22,19.2,19,90,19.9,817.4,814.3,27.6,-22.7,,48
58236,安徽,滁州,滁州,32°18',118°18',27.5,1971~2000,15.4,-1.8,2.3,-4.2,73,34.5,28.2,31,70,31.2,1022.9,1001.8,38.7,-13,11,42
58203,安徽,阜阳,阜阳,32°55',115°49',30.6,1971~2000,15.3,-2.5,1.8,-5.2,71,35.2,28.1,31.3,67,31.4,1022.5,1000.8,40.8,-14.9,13,43
58122,安徽,宿州,宿州,33°38',116°59',25.9,1971~2000,14.7,-3.5,0.8,-5.6,68,35,27.8,31,66,30.7,1023.9,1002.3,40.9,-18.7,14,50
58326,安徽,巢湖,巢湖,31°37',117°52',22.4,1971~2000,16,-1.2,2.9,-3.8,75,35.3,28.4,31.1,68,32.1,1023.8,1002.5,39.3,-13.2,9,41
58436,安徽,宣城,宁国,30°37',118°59',89.4,1971~2000,15.5,-1.5,2.9,-4.1,79,36.1,27.4,32,63,30.8,1015.7,995.8,41.1,-15.9,11,38
58847,福建,福州,福州,26°05',119°17',84,1971~2000,19.8,6.3,10.9,4.4,74,35.9,28,33.1,61,30.8,1012.9,996.6,39.9,-1.7,,32
59134,福建,厦门,厦门,24°29',118°04',139.4,1971~2000,20.6,8.3,12.5,6.6,79,33.5,27.5,31.3,71,29.7,1006.5,994.5,38.5,1.5,,33
59126,福建,漳州,漳州,24°30',117°39',28.9,1971~2000,21.3,8.9,13.2,7.1,76,35.2,27.6,32.6,63,30.8,1018.1,1003,38.6,-0.1,,40
58820,福建,三明,泰宁,26°54',117°10',342.9,1971~2000,17.1,1.3,6.4,-1,86,34.6,26.5,31.9,60,28.6,982.4,967.3,38.9,-10.6,7,30
58834,福建,南平,南平,26°39',118°10',125.6,1971~2000,19.5,4.5,9.7,2.1,78,36.1,27.1,33.7,55,30.7,1008,991.5,39.4,-5.1,,31
58927,福建,龙岩,龙岩,25°06',117°02',342.3,1971~1992,20,6.2,11.6,3.7,73,34.6,25.5,32.1,55,29.4,981.1,968.1,39,-3,,41
58933,福建,宁德,屏南,26°55',118°59',869.5,1972~2000,15.1,0.7,5.8,-1.7,82,30.9,23.8,28.1,63,25.9,921.7,911.6,35,-9.7,8,36
58606,江西,南昌,南昌,28°36',115°55',46.7,1971~2000,17.6,0.7,5.3,-1.5,77,35.5,28.2,32.7,63,32.1,1019.5,999.5,40.1,-9.7,,33
58527,江西,景德镇,景德镇,29°18',117°12',61.5,1971~2000,17.4,1,5.3,-1.4,78,36,27.7,33,62,31.5,1017.9,998.5,40.4,-9.6,,35
58502,江西,九江,九江,29°44',116°00',36.1,1971~1991,17,0.4,4.5,-2.3,77,35.8,27.8,32.7,64,32.5,1021.7,1000.7,40.3,-7,,30
58634,江西,上饶,玉山,28°41',118°15',116.3,1971~2000,17.5,1.1,5.5,-1.2,80,36.1,27.4,33.1,60,31.6,1011.4,992.9,40.7,-9.5,,33
57993,江西,赣州,赣州,25°51',114°57',123.8,1971~2000,19.4,2.7,8.2,0.5,77,35.4,27,33.2,57,31.7,1008.7,991.2,40,-3.8,,31
57799,江西,吉安,吉安,27°07',114°58',76.4,1971~2000,18.4,1.7,6.5,-0.5,81,35.9,27.6,33.4,58,32,1015.4,996.3,40.3,-8,,28
57793,江西,宜春,宜春,27°48',114°23',131.3,1971~2000,17.2,1,5.4,-0.8,81,35.4,27.4,32.3,63,30.8,1009.4,990.4,39.6,-8.5,,27
58813,江西,抚州,广昌,26°51',116°20',143.8,1971~2000,18.2,1.6,6.6,-0.6,81,35.7,27.1,33.2,56,30.9,1006.7,989.2,40,-9.3,,30
58626,江西,鹰潭,贵溪,28°18',117°13',51.2,1971~2000,18.3,1.8,6.2,-0.6,78,36.4,27.6,33.6,58,32.7,1018.7,999.3,40.4,-9.3,,32
54823,山东,济南,济南,36°41',116°59',51.6,1971~2000,14.7,-5.3,-0.4,-7.7,53,34.7,26.8,30.9,61,31.3,1019.1,997.9,40.5,-14.9,35,56
